10,10,5,25.506133794784546
20,20,6,29.826282501220703
30,30,7,30.50127601623535
40,40,8,31.326817989349365
50,50,9,31.725106477737427
60,60,9,32.15268921852112
70,70,9,37.122122049331665
80,80,10,42.19702863693237
90,90,10,41.344907999038696
